,timestamp,name,value,meta.description,meta.host,meta.job,meta.missing,meta.node,meta.plugin,meta.sensor,meta.task,meta.units,meta.vsn,meta.zone,meta.applicationId,meta.applicationName,meta.devAddr,meta.devEui,meta.deviceName,meta.deviceProfileId,meta.deviceProfileName,meta.serial_number_tag,meta.tenantId,meta.tenantName,meta.channel,meta.image_frac,meta.input,meta.nsegments_asked,meta.nsegments_found,meta.quality,meta.seg_id,meta.seg_rank,meta.seg_size,meta.name,meta.camera,meta.gatewayId,meta.type,meta.cpu,meta.mode,meta.device,meta.fstype,meta.mountpoint,meta.chip,meta.server,meta.severity,meta.filename,meta.loop_num,meta.position
43254,2024-08-07 16:03:57.933499589+00:00,upload,https://storage.sagecontinuum.org/api/v1/data/mobotix-custom-neiu-1766/sage-mobotix-custom-neiu-0.23.11.02/000048b02d3ae277/1723046637933499589-right_336x252_14bit.thermal_2024-08-07T160357_Pt2-right-S5xD500ms_Img2.raw,,0000e45f012e32d4.ws-rpi,mobotix-custom-neiu-1766,,000048b02d3ae277,registry.sagecontinuum.org/bhupendraraut/mobotix-scan:0.23.11.02,,mobotix-custom-neiu,,W08D,shield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,right_336x252_14bit.thermal_2024-08-07T160357_Pt2-right-S5xD500ms_Img2.raw,,
28091,2024-08-07 16:05:05.586506850+00:00,sys.mem.swap.cached,0,,0000dca632a305c8.ws-rpi,,,000048b02d05a1c7,,,,,W026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10490,2024-08-07 16:05:32.976484022+00:00,sys.cpu_seconds,0,,00004cd98fb55010.sb-core,,,00004cd98fb55010,,,,,V021,,,,,,,,,,,,,,,,,,,,,,,,,13,irq,,,,,,,,,
41260,2024-08-07 16:05:50.300800553+00:00,sys.thermal,40,,00002cea7fa0972c.sb-core,,,00002cea7fa0972c,,,,,V049,0,,,,,,,,,,,,,,,,,,,,,,,x86_pkg_temp,,,,,,,,,,,
31984,2024-08-07 16:04:50.486862848+00:00,sys.net.rx_packets,58956891,,000048b02dd3c644.ws-nxcore,,,000048b02dd3c644,,,,,W0AE,,,,,,,,,,,,,,,,,,,,,,,,,,,lo,,,,,,,,
34588,2024-08-07 16:05:17.352474005+00:00,sys.net.tx_packets,0,,00002cea7f5e28cb.sb-core,,,00002cea7f5e28cb,,,,,V044,,,,,,,,,,,,,,,,,,,,,,,,,,,lan0,,,,,,,,
35363,2024-08-07 16:05:52.123785756+00:00,sys.net.up,1,,000048b02dd3c25d.ws-nxagent,,,000048b02dd3c722,,,,,W0B9,,,,,,,,,,,,,,,,,,,,,,,,,,,cni0,,,,,,,,
10997,2024-08-07 16:05:06.584541558+00:00,sys.cpu_seconds,0,,00002cea7fa0aeb3.sb-core,,,00002cea7fa0aeb3,,,,,V032,,,,,,,,,,,,,,,,,,,,,,,,,15,steal,,,,,,,,,
32145,2024-08-07 16:05:51.491562919+00:00,sys.net.rx_packets,0,,000048b02dd3c543.ws-nxcore,,,000048b02dd3c543,,,,,W096,,,,,,,,,,,,,,,,,,,,,,,,,,,rndis0,,,,,,,,
27705,2024-08-07 16:06:39.636379900+00:00,sys.mem.sreclaimable,818679808,,000048b02dd3c67e.ws-nxagent,,,000048b02dd3c636,,,,,W0B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11402,2024-08-07 16:05:51.160014437+00:00,sys.cpu_seconds,18049.14,,000048b02d15bc87.ws-nxcore,,,000048b02d15bc87,,,,,W019,,,,,,,,,,,,,,,,,,,,,,,,,2,irq,,,,,,,,,
35466,2024-08-07 16:06:12.310853308+00:00,sys.net.up,1,,00002cea7f4b3440.sb-core,,,00002cea7f4b3440,,,,,V040,,,,,,,,,,,,,,,,,,,,,,,,,,,docker0,,,,,,,,
20807,2024-08-07 16:04:50.642435678+00:00,sys.fs.avail,817942528,,0000d83add18cc59.ws-rpi,,,000048b02dd3c551,,,,,W0B2,,,,,,,,,,,,,,,,,,,,,,,,,,,tmpfs,tmpfs,/mnt/run,,,,,,
25031,2024-08-07 16:06:22.085437915+00:00,sys.mem.cma_total,771751936,,000048b02d15bc7c.ws-nxcore,,,000048b02d15bc7c,,,,,W023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35562,2024-08-07 16:06:39.636379900+00:00,sys.net.up,0,,000048b02dd3c67e.ws-nxagent,,,000048b02dd3c636,,,,,W0B4,,,,,,,,,,,,,,,,,,,,,,,,,,,docker0,,,,,,,,
27714,2024-08-07 16:05:32.976484022+00:00,sys.mem.sreclaimable,518311936,,00004cd98fb55010.sb-core,,,00004cd98fb55010,,,,,V021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38868,2024-08-07 15:37:42.522683648+00:00,sys.sanity_status.rpi-present,0,,00002cea7f5ce07f.sb-core,,,00002cea7f5ce07f,,,,,V055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fatal,,,
30731,2024-08-07 16:06:13.828098482+00:00,sys.net.rx_bytes,0,,000048b02d3ae31e.ws-nxcore,,,000048b02d3ae31e,,,,,W071,,,,,,,,,,,,,,,,,,,,,,,,,,,rndis0,,,,,,,,
4648,2024-08-07 16:06:12.828606873+00:00,sys.cooling,0,,000048b02d15bc8c.ws-nxcore,,,000048b02d15bc8c,,,,,W039,,,,,,,,,,,,,,,,,,,,,7,,,bwmgr-therm-handler,,,,,,,,,,,
