,timestamp,name,value,meta.host,meta.job,meta.node,meta.plugin,meta.sensor,meta.task,meta.vsn,meta.zone
2138,2024-08-07 16:50:33.574745771+00:00,env.pressure,99531.136718,000048b02d3af447.ws-nxcore,Pluginctl,000048b02d3af447,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W07E,core
2115,2024-08-07 16:50:42.720990904+00:00,env.pressure,84695.617187,000048b02d15bdcd.ws-nxcore,Pluginctl,000048b02d15bdcd,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W029,core
2129,2024-08-07 16:50:54.703298574+00:00,env.pressure,98944.289062,000048b02d3ae2f5.ws-nxcore,Pluginctl,000048b02d3ae2f5,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W08B,core
2380,2024-08-07 16:50:38.224988480+00:00,env.relative_humidity,16.916,000048b02d35a9ed.ws-nxcore,Pluginctl,000048b02d35a9ed,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W05D,core
2515,2024-08-07 16:50:56.620906593+00:00,env.temperature,46.82,000048b02dd3c51f.ws-nxcore,Pluginctl,000048b02dd3c51f,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W099,core
2165,2024-08-07 16:50:34.763131775+00:00,env.pressure,98948,0000d83add0dbd52.ws-rpi,Pluginctl,000048b02dd3c6f0,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W0B0,shield
2130,2024-08-07 16:50:33.065111410+00:00,env.pressure,98914.011718,000048b02d3ae30a.ws-nxcore,Pluginctl,000048b02d3ae30a,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W06A,core
2107,2024-08-07 16:50:46.179884960+00:00,env.pressure,99397.085937,000048b02d15bc65.ws-nxcore,Pluginctl,000048b02d15bc65,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W088,core
2164,2024-08-07 16:50:27.161200165+00:00,env.pressure,98986,0000d83add0dbd40.ws-rpi,Pluginctl,000048b02dd3c641,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W09D,shield
2403,2024-08-07 16:50:33.797257252+00:00,env.relative_humidity,21.094,000048b02dd3c42d.ws-nxcore,Pluginctl,000048b02dd3c42d,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W0AF,core
2415,2024-08-07 16:50:32.987172157+00:00,env.relative_humidity,17.468,000048b02dd3c722.ws-nxcore,Pluginctl,000048b02dd3c722,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W0B9,core
2529,2024-08-07 16:50:31.686426618+00:00,env.temperature,47.14,000048b02dd3c814.ws-nxcore,Pluginctl,000048b02dd3c814,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W0B3,core
2437,2024-08-07 16:50:31.982081612+00:00,env.relative_humidity,55.652,0000dca632a307b6.ws-rpi,Pluginctl,000048b02d0766d2,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W014,shield
2490,2024-08-07 16:50:28.046282564+00:00,env.temperature,39.53,000048b02d35a9ce.ws-nxcore,Pluginctl,000048b02d35a9ce,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W085,core
2485,2024-08-07 16:50:40.955686165+00:00,env.temperature,61.06,000048b02d15c31a.ws-nxcore,Pluginctl,000048b02d15c31a,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W01A,core
2448,2024-08-07 16:50:49.430561670+00:00,env.relative_humidity,48.157,0000dca632ed7115.ws-rpi,Pluginctl,000048b02d15bc65,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W088,shield
2517,2024-08-07 16:50:36.649199214+00:00,env.temperature,45.68,000048b02dd3c5bd.ws-nxcore,Pluginctl,000048b02dd3c5bd,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W0B8,core
2520,2024-08-07 16:50:55.843933830+00:00,env.temperature,46.03,000048b02dd3c640.ws-nxcore,Pluginctl,000048b02dd3c640,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W0BA,core
2561,2024-08-07 16:50:46.386332871+00:00,env.temperature,25.55,0000e45f012e378d.ws-rpi,Pluginctl,000048b02dd3c51f,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W099,shield
2176,2024-08-07 16:50:53.402441255+00:00,env.pressure,98945,0000dca632a3058b.ws-rpi,Pluginctl,000048b02d15bc7c,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W023,shield
2431,2024-08-07 16:50:46.858660763+00:00,env.relative_humidity,0,0000d83add18cc59.ws-rpi,Pluginctl,000048b02dd3c551,waggle/plugin-iio:0.7.0,bme680,wes-iio-bme680,W0B2,shield
2387,2024-08-07 16:50:54.698340589+00:00,env.relative_humidity,21.45,000048b02d3ae2f5.ws-nxcore,Pluginctl,000048b02d3ae2f5,waggle/plugin-iio:0.6.0,bme280,wes-iio-bme280,W08B,core
