DateTime,radW/m2
2024-01-05 09:30:00,166.25
2024-01-05 09:45:00,265.18
2024-01-05 10:00:00,236.71
2024-01-05 10:15:00,309.00
2024-01-05 10:30:00,220.50
2024-01-05 10:45:00,153.72
2024-01-05 11:00:00,156.63
2024-01-05 11:15:00,226.11
2024-01-05 11:30:00,302.14
2024-01-05 11:45:00,350.46
2024-01-05 12:00:00,465.59
2024-01-05 12:15:00,456.46
2024-01-05 12:30:00,358.16
2024-01-05 12:45:00,418.21
2024-01-05 13:00:00,388.96
2024-01-05 13:15:00,354.06
2024-01-05 13:30:00,276.49
2024-01-05 13:45:00,237.49
2024-01-05 14:00:00,217.40
2024-01-05 14:15:00,201.79
2024-01-05 14:30:00,133.54
2024-01-05 14:45:00,118.31
2024-01-05 15:00:00,85.67
2024-01-05 15:15:00,63.19
2024-01-05 15:30:00,53.70
2024-01-05 15:45:00,42.15
2024-01-05 16:00:00,28.42
2024-01-05 16:15:00,14.18
2024-01-05 16:30:00,6.13
2024-01-05 16:45:00,1.32
2024-01-05 17:00:00,0.13
2024-01-05 17:15:00,-0.12
2024-01-05 17:30:00,-0.07
2024-01-05 17:45:00,0.00
2024-01-05 18:00:00,0.00
2024-01-05 18:15:00,0.00
2024-01-05 18:30:00,0.00
2024-01-05 18:45:00,0.00
2024-01-05 19:00:00,0.00
2024-01-05 19:15:00,0.00
2024-01-05 19:30:00,0.00
2024-01-05 19:45:00,0.00
2024-01-05 20:00:00,0.00
2024-01-05 20:15:00,0.00
2024-01-05 20:30:00,0.00
2024-01-05 20:45:00,-0.01
2024-01-05 21:00:00,0.00
2024-01-05 21:15:00,0.00
2024-01-05 21:30:00,0.00
2024-01-05 21:45:00,0.00
2024-01-05 22:00:00,0.00
2024-01-05 22:15:00,0.00
2024-01-05 22:30:00,-0.01
2024-01-05 22:45:00,-0.16
2024-01-05 23:00:00,-0.05
2024-01-05 23:15:00,0.00
2024-01-05 23:30:00,0.00
2024-01-05 23:45:00,0.00
2024-01-06 00:00:00,0.00
2024-01-06 00:15:00,0.00
2024-01-06 00:30:00,0.00
2024-01-06 00:45:00,0.00
2024-01-06 01:00:00,0.00
2024-01-06 01:15:00,0.00
2024-01-06 01:30:00,0.00
2024-01-06 01:45:00,0.00
2024-01-06 02:00:00,0.00
2024-01-06 02:15:00,0.00
2024-01-06 02:30:00,0.00
2024-01-06 02:45:00,0.00
2024-01-06 03:00:00,0.00
2024-01-06 03:15:00,0.00
2024-01-06 03:30:00,0.00
2024-01-06 03:45:00,0.00
2024-01-06 04:00:00,0.00
2024-01-06 04:15:00,0.00
2024-01-06 04:30:00,0.00
2024-01-06 04:45:00,0.00
2024-01-06 05:00:00,0.00
2024-01-06 05:15:00,0.00
2024-01-06 05:30:00,0.00
2024-01-06 05:45:00,0.00
2024-01-06 06:00:00,0.00
2024-01-06 06:15:00,0.00
2024-01-06 06:30:00,0.00
2024-01-06 06:45:00,0.00
2024-01-06 07:00:00,0.00
2024-01-06 07:15:00,0.26
2024-01-06 07:30:00,1.35
2024-01-06 07:45:00,7.62
2024-01-06 08:00:00,12.79
2024-01-06 08:15:00,19.78
2024-01-06 08:30:00,25.70
2024-01-06 08:45:00,33.13
2024-01-06 09:00:00,38.37
2024-01-06 09:15:00,41.45
2024-01-06 09:30:00,46.15
2024-01-06 09:45:00,53.65
2024-01-06 10:00:00,48.61
2024-01-06 10:15:00,48.81
2024-01-06 10:30:00,46.28
2024-01-06 10:45:00,38.88
2024-01-06 11:00:00,43.84
2024-01-06 11:15:00,52.43
2024-01-06 11:30:00,50.90
2024-01-06 11:45:00,41.56
2024-01-06 12:00:00,46.39
2024-01-06 12:15:00,70.19
2024-01-06 12:30:00,59.53
2024-01-06 12:45:00,48.87
2024-01-06 13:00:00,42.97
2024-01-06 13:15:00,45.67
2024-01-06 13:30:00,54.97
2024-01-06 13:45:00,52.72
2024-01-06 14:00:00,53.36
2024-01-06 14:15:00,63.06
2024-01-06 14:30:00,73.45
2024-01-06 14:45:00,73.33
2024-01-06 15:00:00,63.37
2024-01-06 15:15:00,48.27
2024-01-06 15:30:00,42.95
2024-01-06 15:45:00,19.61
2024-01-06 16:00:00,12.05
2024-01-06 16:15:00,8.38
2024-01-06 16:30:00,3.47
2024-01-06 16:45:00,1.19
2024-01-06 17:00:00,0.20
2024-01-06 17:15:00,0.00
2024-01-06 17:30:00,0.00
2024-01-06 17:45:00,0.00
2024-01-06 18:00:00,0.00
2024-01-06 18:15:00,0.00
2024-01-06 18:30:00,0.00
2024-01-06 18:45:00,0.00
2024-01-06 19:00:00,0.00
2024-01-06 19:15:00,0.00
2024-01-06 19:30:00,-0.01
2024-01-06 19:45:00,-0.01
2024-01-06 20:00:00,0.00
2024-01-06 20:15:00,0.00
2024-01-06 20:30:00,0.00
2024-01-06 20:45:00,0.00
2024-01-06 21:00:00,0.00
2024-01-06 21:15:00,0.00
2024-01-06 21:30:00,-0.01
2024-01-06 21:45:00,-0.03
2024-01-06 22:00:00,0.00
2024-01-06 22:15:00,0.00
2024-01-06 22:30:00,0.00
2024-01-06 22:45:00,0.00
2024-01-06 23:00:00,0.00
2024-01-06 23:15:00,0.00
2024-01-06 23:30:00,0.00
2024-01-06 23:45:00,0.00
2024-01-07 00:00:00,0.00
2024-01-07 00:15:00,0.00
2024-01-07 00:30:00,0.00
2024-01-07 00:45:00,0.00
2024-01-07 01:00:00,0.00
2024-01-07 01:15:00,0.00
2024-01-07 01:30:00,0.00
2024-01-07 01:45:00,0.00
2024-01-07 02:00:00,0.00
2024-01-07 02:15:00,0.00
2024-01-07 02:30:00,0.00
2024-01-07 02:45:00,0.00
2024-01-07 03:00:00,0.00
2024-01-07 03:15:00,0.00
2024-01-07 03:30:00,0.00
2024-01-07 03:45:00,0.00
2024-01-07 04:00:00,0.00
2024-01-07 04:15:00,0.00
2024-01-07 04:30:00,0.00
2024-01-07 04:45:00,0.00
2024-01-07 05:00:00,0.00
2024-01-07 05:15:00,0.00
2024-01-07 05:30:00,0.00
2024-01-07 05:45:00,0.00
2024-01-07 06:00:00,0.00
2024-01-07 06:15:00,0.00
2024-01-07 06:30:00,0.00
2024-01-07 06:45:00,0.00
2024-01-07 07:00:00,0.00
2024-01-07 07:15:00,0.25
2024-01-07 07:30:00,1.31
2024-01-07 07:45:00,4.00
2024-01-07 08:00:00,8.35
2024-01-07 08:15:00,15.73
2024-01-07 08:30:00,23.26
2024-01-07 08:45:00,34.48
2024-01-07 09:00:00,47.18
2024-01-07 09:15:00,52.60
2024-01-07 09:30:00,66.86
2024-01-07 09:45:00,86.96
2024-01-07 10:00:00,89.77
2024-01-07 10:15:00,82.32
2024-01-07 10:30:00,93.25
2024-01-07 10:45:00,81.20
2024-01-07 11:00:00,95.16
2024-01-07 11:15:00,100.12
2024-01-07 11:30:00,100.77
2024-01-07 11:45:00,114.73
2024-01-07 12:00:00,137.17
2024-01-07 12:15:00,115.61
2024-01-07 12:30:00,100.18
2024-01-07 12:45:00,120.46
2024-01-07 13:00:00,111.05
2024-01-07 13:15:00,110.60
2024-01-07 13:30:00,109.67
2024-01-07 13:45:00,107.22
2024-01-07 14:00:00,103.45
2024-01-07 14:15:00,78.44
2024-01-07 14:30:00,58.79
2024-01-07 14:45:00,60.42
2024-01-07 15:00:00,52.12
2024-01-07 15:15:00,39.67
2024-01-07 15:30:00,26.37
2024-01-07 15:45:00,20.11
2024-01-07 16:00:00,14.01
2024-01-07 16:15:00,7.97
2024-01-07 16:30:00,3.49
2024-01-07 16:45:00,0.99
2024-01-07 17:00:00,0.18
2024-01-07 17:15:00,0.01
2024-01-07 17:30:00,0.00
2024-01-07 17:45:00,-0.01
2024-01-07 18:00:00,-0.01
2024-01-07 18:15:00,0.00
2024-01-07 18:30:00,0.00
2024-01-07 18:45:00,0.00
2024-01-07 19:00:00,-0.01
2024-01-07 19:15:00,0.00
2024-01-07 19:30:00,0.00
2024-01-07 19:45:00,0.00
2024-01-07 20:00:00,0.00
2024-01-07 20:15:00,0.00
2024-01-07 20:30:00,0.00
2024-01-07 20:45:00,0.00
2024-01-07 21:00:00,0.00
2024-01-07 21:15:00,-0.01
2024-01-07 21:30:00,0.00
2024-01-07 21:45:00,0.00
2024-01-07 22:00:00,0.00
2024-01-07 22:15:00,0.00
2024-01-07 22:30:00,0.00
2024-01-07 22:45:00,0.00
2024-01-07 23:00:00,0.00
2024-01-07 23:15:00,0.00
2024-01-07 23:30:00,0.00
2024-01-07 23:45:00,0.00
2024-01-08 00:00:00,0.00
2024-01-08 00:15:00,0.00
2024-01-08 00:30:00,0.00
2024-01-08 00:45:00,0.00
2024-01-08 01:00:00,0.00
2024-01-08 01:15:00,0.00
2024-01-08 01:30:00,0.00
2024-01-08 01:45:00,0.00
2024-01-08 02:00:00,0.00
2024-01-08 02:15:00,0.00
2024-01-08 02:30:00,0.00
2024-01-08 02:45:00,0.00
2024-01-08 03:00:00,0.00
2024-01-08 03:15:00,0.00
2024-01-08 03:30:00,0.00
2024-01-08 03:45:00,0.00
2024-01-08 04:00:00,0.00
2024-01-08 04:15:00,0.00
2024-01-08 04:30:00,0.00
2024-01-08 04:45:00,0.00
2024-01-08 05:00:00,0.00
2024-01-08 05:15:00,0.00
2024-01-08 05:30:00,0.00
2024-01-08 05:45:00,0.00
2024-01-08 06:15:00,0.00
2024-01-08 06:30:00,0.00
2024-01-08 06:45:00,0.00
2024-01-08 07:00:00,0.00
2024-01-08 07:15:00,0.31
2024-01-08 07:30:00,1.20
2024-01-08 07:45:00,4.31
2024-01-08 08:00:00,11.41
2024-01-08 08:15:00,20.66
2024-01-08 08:30:00,38.15
2024-01-08 08:45:00,59.31
2024-01-08 09:00:00,67.13
2024-01-08 09:15:00,72.55
2024-01-08 09:30:00,72.93
2024-01-08 09:45:00,79.06
2024-01-08 10:00:00,112.68
2024-01-08 10:15:00,131.47
2024-01-08 10:30:00,153.94
2024-01-08 10:45:00,136.83
2024-01-08 11:00:00,105.98
2024-01-08 11:15:00,114.64
2024-01-08 11:30:00,135.46
2024-01-08 11:45:00,155.09
2024-01-08 12:00:00,173.32
2024-01-08 12:15:00,208.30
2024-01-08 12:30:00,178.55
2024-01-08 12:45:00,190.39
2024-01-08 13:00:00,211.93
2024-01-08 13:15:00,150.68
2024-01-08 13:30:00,125.68
2024-01-08 13:45:00,116.09
2024-01-08 14:00:00,99.61
2024-01-08 14:15:00,126.33
2024-01-08 14:30:00,112.31
2024-01-08 14:45:00,91.85
2024-01-08 15:00:00,67.63
2024-01-08 15:15:00,41.43
2024-01-08 15:30:00,32.95
2024-01-08 15:45:00,21.98
2024-01-08 16:00:00,18.16
2024-01-08 16:15:00,9.56
2024-01-08 16:30:00,5.70
2024-01-08 16:45:00,1.18
2024-01-08 17:00:00,0.18
2024-01-08 17:15:00,-0.04
2024-01-08 17:30:00,-0.09
2024-01-08 17:45:00,-0.09
2024-01-08 18:00:00,0.00
2024-01-08 18:15:00,-0.03
2024-01-08 18:30:00,-0.03
2024-01-08 18:45:00,0.00
2024-01-08 19:00:00,0.00
2024-01-08 19:15:00,0.00
2024-01-08 19:30:00,0.00
2024-01-08 19:45:00,0.00
2024-01-08 20:00:00,0.00
2024-01-08 20:15:00,0.00
2024-01-08 20:30:00,0.00
2024-01-08 20:45:00,0.00
2024-01-08 21:00:00,0.00
2024-01-08 21:15:00,0.00
2024-01-08 21:30:00,-0.05
2024-01-08 21:45:00,-0.05
